Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade)
,,,,252.863659941877,,
,,,208.327875923738,252.18752241295,207.35849222974701,
2827391.0,2833433.0,727716.0,,,,
2970223.0,3103266.0,730004.0,,,207.963517196451,
3367437.0,3353363.0,727480.0,,,,
3365113.0,3572283.0,735912.0,211.646973546124,256.594863207309,,
3981788.0,3963624.0,737386.0,,,,
4140537.0,4245033.0,739321.0,,,210.920767475306,255.226634758003
4471546.0,4622810.0,737639.0,,,,
4885917.0,5003267.0,730184.0,217.94105295810903,262.15820551985,,
4832946.0,5086045.0,728532.0,,,,
5128559.0,5147821.0,726367.0,,,206.88002954674,252.50170539730598
5196054.0,5298932.0,727900.0,223.344642639352,261.939022225118,207.083847576707,253.172593739071
5356113.0,5450269.0,730418.0,,,,
5889966.0,5904664.0,729342.0,225.07123624126498,262.211100048323,207.75203301297,251.978391189903
6364028.0,6591429.0,743265.0,,,,
7069040.0,7196459.0,743273.0,228.52001796592498,266.000109919931,216.38895388448998,251.93688143753602
7726213.0,7847387.0,742919.0,,,,
7186390.0,7815467.0,745668.0,227.962650411086,268.524120315168,216.273355869774,254.89524659554002
7281058.0,7647571.0,748889.0,,,,
7376725.0,7411768.0,746933.0,231.286019035945,269.09651583719,220.273413326721,258.421090379483
7136949.0,7222161.0,744621.0,,,,
7197439.0,7487741.0,744548.0,232.86133246614799,269.194280616502,218.57595339188,257.427838227608
7357267.0,7587737.0,740081.0,,,,
7360222.0,7501799.0,734974.0,230.977422662321,266.555318518065,217.049089788052,258.753761500039
7498567.0,7708845.0,734652.0,,,,
,,,232.17068774150903,268.312020240893,216.41981353101102,257.686520320925
1191398.0,1126398.0,121156.0,,,,
1052282.0,1116160.0,123868.0,,,,
1117068.0,1203817.0,125421.0,,,,
1120346.0,1240031.0,126189.0,223.83345456097598,277.643071449619,,
1131950.0,1237103.0,128143.0,,,,
1206195.0,1222893.0,130633.0,,,,
1243227.0,1289988.0,133508.0,,,,
1313510.0,1386904.0,132822.0,,,,
1325498.0,1402839.0,131985.0,,,,
1377767.0,1523327.0,133010.0,,,,
1425948.0,1610289.0,133303.0,232.99165432133597,279.02506986523105,211.54715356915298,256.409625298838
1477152.0,1647250.0,133153.0,,,,
1599739.0,1751718.0,132568.0,235.51070553974498,278.958709394219,211.06131857044997,258.721274696008
1625138.0,1817656.0,132893.0,,,,
1800616.0,1938755.0,132197.0,237.27389321932498,282.557154120707,214.476954408027,258.798455932602
2188587.0,2274819.0,130624.0,,,,
2158970.0,2396412.0,130236.0,237.21228433612202,283.047662800849,211.127368273139,259.449426538116
2230338.0,2371251.0,131265.0,,,,
2357828.0,2443898.0,131704.0,236.35965802610698,283.2727978671,207.92369589694,261.28525201639997
2383402.0,2483320.0,130771.0,,,,
2545117.0,2665933.0,131091.0,236.122004416339,281.559572836526,209.347288173954,261.256092625584
2663647.0,2727056.0,130539.0,,,,
2920986.0,2968341.0,130755.0,236.32841695089698,280.493456179845,212.792600219066,260.317018773005
2494691.0,2623014.0,132477.0,,,,
,,,230.456277558902,277.015571755108,207.03763011579701,257.667496756549
,,,,259.59006758821204,,
,,,215.2539320246,265.366277794427,209.40206480543998,
3427976.0,3623946.0,676297.0,,,,
3566586.0,3803379.0,708482.0,,,206.212715526558,
3815218.0,4056279.0,735018.0,,,,
4143304.0,4391555.0,764681.0,217.575940481046,267.874834337364,,
4343262.0,4432360.0,783552.0,,,,
4675296.0,4726098.0,794331.0,,,206.52978842714802,260.800207957654
5085826.0,5072471.0,814157.0,,,,
5479168.0,5397194.0,814807.0,218.766619064154,270.715405900397,,
5916342.0,5858385.0,834387.0,,,,
6192222.0,6018188.0,859588.0,,,205.347275383339,256.734911435366
6529894.0,6210287.0,875111.0,228.91139607018397,271.177350478914,208.87280135481998,255.320115210993
7117923.0,6731212.0,895927.0,,,,
7550109.0,7136794.0,919875.0,229.80067307133098,274.305090048274,207.14273663584,254.78793822517503
8084068.0,7934177.0,947266.0,,,,
8724434.0,8709531.0,969875.0,231.93693354533798,275.548426408372,209.520624281702,254.82879235400398
9272152.0,9581201.0,987332.0,,,,
8802515.0,9580393.0,981303.0,229.991105224216,277.332281962623,209.989269506089,257.595275452299
8828122.0,8812967.0,963517.0,,,,
8429186.0,8610417.0,946571.0,235.157597045644,279.033501713793,212.395049942915,260.14800521382597
7934798.0,8054662.0,942738.0,,,,
8164324.0,7600581.0,941726.0,240.30491147057597,279.722267962505,213.13413148086602,260.448287236627
8361708.0,8109460.0,943937.0,,,,
8230507.0,7902600.0,944978.0,237.61175542795,282.919489420654,215.311336461445,262.769391809157
8503034.0,7987011.0,938274.0,,,,
,,,234.435788152091,282.248145284054,215.46595194467602,262.957456729335
,,,,256.213990069438,,
,,,210.20602809793,256.312090419091,210.899768304081,
1346909.0,1376067.0,311432.0,,,,
1393287.0,1445984.0,312695.0,,,208.634458392674,
2057550.0,2155067.0,447757.0,,,,
2183384.0,2297381.0,452907.0,215.84643599604198,261.652745252938,,
2355859.0,2379496.0,457349.0,,,,
2567380.0,2536027.0,456355.0,,,208.837715847409,255.72653046075803
2684966.0,2650808.0,451981.0,,,,
2844855.0,2683400.0,450751.0,217.06286951100202,261.363712665471,,
2974588.0,2951677.0,449693.0,,,,
3147921.0,3087453.0,449161.0,,,212.88179718175,260.134870734393
3241275.0,3242799.0,450158.0,229.00658865624402,265.77158934307596,213.615304459937,257.998089007686
3385818.0,3539569.0,453491.0,,,,
3978240.0,3999608.0,461667.0,235.54546696397998,271.636348366415,217.071528896937,257.691731885046
4247664.0,4343877.0,472609.0,,,,
4415981.0,4779308.0,474532.0,237.670687444943,273.89986215628,217.027817745061,257.96099580386004
4608356.0,4720720.0,476110.0,,,,
4753142.0,5017352.0,474423.0,237.54059191157398,275.999499994013,216.15158139298802,258.048580163614
5069272.0,5520387.0,474897.0,,,,
5176362.0,5669431.0,475551.0,237.810156979715,279.088205018109,216.51486397474997,259.140937770185
5169926.0,5299969.0,475671.0,,,,
5067546.0,5226339.0,477716.0,239.89052210005002,277.91480245625803,218.523885266815,261.964490796451
5193218.0,5242672.0,479881.0,,,,
5308625.0,5350543.0,479682.0,235.215469726642,275.06475641246897,218.077496215637,258.76826797665797
5401016.0,5434193.0,479177.0,,,,
,,,233.848143678937,273.75990725281,216.108025728181,259.95579848311
,,,,256.32482010922297,,
,,,208.398960917183,260.89224682207004,202.24752639269798,
28043338.0,28110986.0,5129788.0,,,,
23440845.0,23012688.0,4120498.0,,,196.764414122393,
29512214.0,30097549.0,5299405.0,,,,
31282981.0,31561692.0,5460484.0,209.12908267874698,262.772478440845,,
35614934.0,33862281.0,5595836.0,,,,
39183018.0,38087666.0,5727224.0,,,201.91259066657102,253.212951848734
41393435.0,40834643.0,5839207.0,,,,
46628207.0,45829753.0,5941946.0,213.565125054589,262.171026590943,,
53288943.0,52082540.0,6045030.0,,,,
54727056.0,56464225.0,6136915.0,,,205.916587739819,250.45080327128798
59815855.0,59749885.0,6226552.0,227.45498179673598,267.049500585455,205.632437100793,251.007500405859
60162326.0,62647953.0,6284502.0,,,,
62171797.0,66196072.0,6307022.0,230.36695749900002,268.558128581435,206.512026480797,250.431056381298
66302860.0,68722432.0,6295994.0,,,,
72516936.0,73225422.0,6288686.0,230.034091233638,270.381784005669,208.52218596154998,251.287791535591
74626928.0,76618865.0,6258421.0,,,,
73958896.0,74766086.0,6234155.0,231.674927207631,270.448588146426,209.762405377999,252.631380782334
67356719.0,71227111.0,6213958.0,,,,
70953331.0,69847705.0,6202604.0,234.164993212459,272.769803091291,211.35863599994,254.935218336086
69016392.0,70191877.0,6203034.0,,,,
68868516.0,69727119.0,6208733.0,233.65446462441298,275.901350652197,212.54596789306302,261.50245565870097
72389126.0,72506810.0,6224685.0,,,,
78248042.0,78365958.0,6226523.0,231.54934500615502,275.324573012154,212.677948539849,258.986842564294
89217262.0,85320133.0,6217031.0,,,,
,,,232.262940994562,276.638200063835,215.421814242133,262.520630021396
,,,,267.366289884072,,
,,,221.023429078871,272.398432913929,216.52536049254797,
3058326.0,3028305.0,539538.0,,,,
3061865.0,3113755.0,549570.0,,,213.48089032546397,
3709875.0,3766191.0,639805.0,,,,
3891203.0,4075165.0,655679.0,225.805857540771,275.608214245213,,
4133275.0,4398196.0,672634.0,,,,
4359021.0,4739136.0,686360.0,,,221.65324325387797,263.542195758144
4740254.0,5040224.0,698402.0,,,,
5073266.0,5444193.0,707436.0,,,,
5372784.0,5727966.0,723696.0,,,,
5849588.0,6237142.0,741319.0,,,,
6297242.0,6685029.0,751049.0,235.19311612499598,283.399858481467,223.66098196102797,267.592640864405
6527456.0,6869975.0,756319.0,,,,
6910296.0,7284280.0,765388.0,239.21587446297997,280.824007310133,223.65613000374802,264.75810609504504
7295561.0,7803324.0,778842.0,,,,
7689014.0,8039146.0,790211.0,240.205890246617,286.19275616634104,223.73265289646199,266.407881623504
8070129.0,8884786.0,796824.0,,,,
8310673.0,8682489.0,812068.0,243.132439997085,287.372907515934,225.69664059033198,265.51311994428
8793676.0,8914338.0,825242.0,,,,
8747471.0,8676451.0,834832.0,244.456097110102,291.7426728709,223.43384362777198,270.636204320649
